"item","subscale","total_corr","subscale_corr","diff"
"Q01","Awareness of Illness and Treatment Needs",0.650206138816819,0.830976124293391,0.180769985476572
"Q02","Awareness of Illness and Treatment Needs",0.645707690897921,0.867205967270616,0.221498276372695
"Q03","Awareness of Illness and Treatment Needs",0.612942617691033,0.791770167733976,0.178827550042943
"Q04","Self-management Skills",0.567759148170336,0.542218428934591,-0.0255407192357446
"Q05","Self-management Skills",0.748308698651762,0.699456125185891,-0.0488525734658701
"Q06","Self-management Skills",0.656119569047588,0.620132843223192,-0.0359867258243957
"Q07","Ability to Express One's Inner Self",0.505220639544165,0.543272189055186,0.0380515495110211
"Q08","Ability to Stay Safe",0.739934682994397,0.677994615075997,-0.0619400679184003
"Q09","Self-management Skills",0.694383035274227,0.676443944561695,-0.0179390907125316
"Q10","Mental Stability",0.603035390724944,0.674059936420967,0.0710245456960231
"Q11","Ability to Express One's Inner Self",0.702822598025759,0.691571987806149,-0.0112506102196097
"Q12","Self-management Skills",0.489566055546595,0.446641183075201,-0.0429248724713939
"Q13","Mental Stability",0.595506629548763,0.632491564458032,0.0369849349092692
"Q14","Ability to Express One's Inner Self",0.701414971763456,0.699258066698553,-0.00215690506490329
"Q15","Mental Stability",0.546737277484428,0.641783075103909,0.0950457976194804
"Q16","Mental Stability",0.720189841700912,0.781211751990674,0.0610219102897627
"Q17","Mental Stability",0.692447698986264,0.731506755505452,0.0390590565191877
"Q18","Ability to Stay Safe",0.729887603077697,0.75271295850277,0.0228253554250729
"Q19","Ability to Stay Safe",0.731839095488216,0.717254682791669,-0.0145844126965468
"Q20","Ability to Stay Safe",0.521667763992549,0.523330474576581,0.00166271058403256
"Q21","Self-management Skills",0.752179591815651,0.80145441176307,0.0492748199474182
"Q22","Self-management Skills",0.75023553450048,0.797047459857957,0.046811925357477
"Q23","Self-management Skills",0.740935859593127,0.719948128133368,-0.0209877314597589
"Q24","Ability to Stay Safe",0.738633050892272,0.70182623337536,-0.0368068175169118
"Q25","Ability to Express One's Inner Self",0.701063423221311,0.732869626758698,0.0318062035373868
"Q26","Ability to Express One's Inner Self",0.715364035144159,0.723479288555984,0.00811525341182484
"Q27","Mental Stability",0.784185119855032,0.634014608369362,-0.15017051148567
"Q28","Ability to Stay Safe",0.452310251092519,0.422227676191497,-0.0300825749010222
